               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.031081,            0.015044,           0.0023211,             0.99808,                   1,               0.995,             0.80914,            0.019979,           0.0034359,           0.0013964,             0.00769,             0.00769,             0.00769
                  37,            0.031021,            0.016038,           0.0023363,             0.99934,                   1,               0.995,             0.73371,            0.032329,           0.0036828,           0.0013877,            0.007624,            0.007624,            0.007624
                  38,            0.031363,            0.015038,           0.0019435,             0.99864,                   1,               0.995,             0.77462,             0.01968,           0.0035552,           0.0013613,            0.007558,            0.007558,            0.007558
                  39,            0.030096,            0.015482,           0.0020797,                   1,             0.99439,               0.995,             0.77004,            0.026906,           0.0040355,           0.0014332,            0.007492,            0.007492,            0.007492
                  40,            0.027707,            0.014401,           0.0027343,             0.99789,             0.94737,             0.99024,             0.81457,            0.021845,           0.0038361,           0.0012881,            0.007426,            0.007426,            0.007426
                  41,            0.028166,            0.013773,           0.0020975,                   1,             0.94053,             0.99024,             0.77754,            0.026856,           0.0043644,           0.0012896,             0.00736,             0.00736,             0.00736
                  42,            0.029051,            0.014242,           0.0016062,              0.9804,                   1,               0.995,             0.85015,            0.020783,           0.0036461,           0.0012183,            0.007294,            0.007294,            0.007294
                  43,            0.029343,             0.01399,           0.0015946,                   1,             0.94308,              0.9925,             0.80693,             0.02508,           0.0040354,           0.0012935,            0.007228,            0.007228,            0.007228
                  44,              0.0289,            0.014764,           0.0014988,             0.94969,             0.99371,                0.99,             0.84254,            0.021032,           0.0041961,           0.0013327,            0.007162,            0.007162,            0.007162
                  45,            0.027426,             0.01397,           0.0015398,             0.94402,                   1,                0.99,             0.82176,             0.02398,           0.0037813,           0.0013377,            0.007096,            0.007096,            0.007096
                  46,            0.027426,            0.015375,            0.001748,             0.99586,                   1,               0.995,             0.85486,            0.023523,           0.0035399,            0.001289,             0.00703,             0.00703,             0.00703
                  47,            0.027446,            0.014166,             0.00332,             0.99653,                   1,               0.995,             0.83727,            0.019474,            0.003715,           0.0012679,            0.006964,            0.006964,            0.006964
                  48,            0.027914,            0.013398,           0.0022723,                   1,              0.9987,               0.995,              0.8412,             0.02507,           0.0041262,           0.0012464,            0.006898,            0.006898,            0.006898
                  49,            0.027105,            0.014029,           0.0015578,             0.99965,                   1,               0.995,             0.83072,            0.020002,           0.0038038,           0.0011703,            0.006832,            0.006832,            0.006832
                  50,            0.026885,            0.013832,           0.0023262,             0.99738,                   1,               0.995,              0.8178,            0.026123,           0.0036008,           0.0011024,            0.006766,            0.006766,            0.006766
                  51,            0.027707,            0.014023,           0.0014403,                   1,             0.99496,               0.995,             0.84826,            0.017681,           0.0040662,            0.001125,              0.0067,              0.0067,              0.0067
                  52,             0.02727,            0.014093,           0.0013796,             0.99513,             0.94737,              0.9925,             0.77929,            0.022929,             0.00384,           0.0011352,            0.006634,            0.006634,            0.006634
                  53,            0.026874,            0.013623,           0.0014897,             0.99483,             0.94737,               0.983,             0.83686,            0.016753,           0.0038631,           0.0011486,            0.006568,            0.006568,            0.006568
                  54,            0.025369,            0.013849,           0.0013688,             0.99514,             0.94737,              0.9863,             0.82568,            0.021789,           0.0038829,           0.0011275,            0.006502,            0.006502,            0.006502
                  55,            0.025765,            0.012722,           0.0015356,              0.9951,             0.94737,              0.9863,             0.81537,            0.021434,           0.0038977,           0.0010307,            0.006436,            0.006436,            0.006436
                  56,            0.026643,            0.013429,           0.0016533,                   1,             0.99748,               0.995,             0.80632,            0.021908,           0.0037392,           0.0011044,             0.00637,             0.00637,             0.00637
                  57,            0.025041,            0.013847,            0.001447,             0.99555,             0.94737,             0.99024,             0.81559,            0.016934,           0.0035436,           0.0010521,            0.006304,            0.006304,            0.006304
                  58,            0.023859,            0.013142,           0.0012136,             0.94969,             0.99375,              0.9925,             0.79426,            0.022075,           0.0036273,           0.0010373,            0.006238,            0.006238,            0.006238
                  59,            0.026203,            0.013738,           0.0012408,             0.99456,             0.94737,              0.9863,             0.80971,            0.017919,           0.0035583,           0.0010425,            0.006172,            0.006172,            0.006172
                  60,            0.024938,            0.013094,           0.0015672,             0.99361,             0.94737,             0.98818,             0.80142,            0.020269,           0.0038095,           0.0010499,            0.006106,            0.006106,            0.006106
                  61,            0.024239,            0.013505,           0.0014115,             0.99488,             0.94737,              0.9863,             0.82672,            0.017507,           0.0039679,           0.0010168,             0.00604,             0.00604,             0.00604
                  62,             0.02499,            0.013752,           0.0014276,             0.99566,             0.94737,             0.99024,             0.82271,            0.021672,           0.0041887,           0.0010227,            0.005974,            0.005974,            0.005974
                  63,            0.024895,            0.012628,           0.0015141,             0.90406,             0.99221,             0.98761,             0.82365,            0.017134,           0.0041859,          0.00099957,            0.005908,            0.005908,            0.005908
                  64,            0.025046,            0.012972,           0.0011466,             0.98902,                   1,               0.995,             0.77928,            0.022842,           0.0047649,           0.0010344,            0.005842,            0.005842,            0.005842
                  65,            0.023802,            0.013763,           0.0011567,             0.99324,                   1,               0.995,              0.8276,            0.018629,           0.0042106,          0.00098451,            0.005776,            0.005776,            0.005776
                  66,            0.024287,            0.013798,           0.0011205,             0.99277,                   1,               0.995,             0.80593,             0.02428,           0.0040174,          0.00098616,             0.00571,             0.00571,             0.00571
                  67,            0.023855,            0.012338,           0.0012139,             0.99839,                   1,               0.995,             0.80223,            0.017946,           0.0038595,          0.00095855,            0.005644,            0.005644,            0.005644
                  68,            0.023619,            0.013135,           0.0016961,              0.9982,                   1,               0.995,             0.84907,            0.019008,           0.0036919,          0.00093577,            0.005578,            0.005578,            0.005578
                  69,            0.023181,            0.012683,           0.0015055,                   1,             0.99462,               0.995,             0.82222,            0.019253,           0.0035177,          0.00088888,            0.005512,            0.005512,            0.005512
                  70,            0.023026,            0.012666,           0.0010702,             0.98902,                   1,               0.995,             0.84599,            0.021832,           0.0037547,          0.00087361,            0.005446,            0.005446,            0.005446
                  71,            0.024037,            0.012524,           0.0011466,             0.99323,                   1,               0.995,             0.84788,            0.018956,           0.0038357,          0.00086696,             0.00538,             0.00538,             0.00538
                  72,            0.024106,            0.012522,           0.0010683,                   1,             0.99478,               0.995,             0.82697,            0.023473,           0.0039477,          0.00090119,            0.005314,            0.005314,            0.005314
                  73,            0.022333,            0.012924,           0.0012845,                   1,             0.99644,               0.995,             0.86112,            0.019089,           0.0035488,          0.00084615,            0.005248,            0.005248,            0.005248
                  74,            0.022532,            0.013599,          0.00094168,                   1,             0.99878,               0.995,             0.81679,            0.022556,           0.0036349,          0.00084003,            0.005182,            0.005182,            0.005182
                  75,            0.021785,            0.013075,          0.00093599,                   1,              0.9985,               0.995,             0.84044,            0.017743,           0.0034807,          0.00081786,            0.005116,            0.005116,            0.005116
                  76,            0.021523,            0.013075,           0.0010097,                   1,             0.99915,               0.995,             0.81933,             0.02009,           0.0035474,          0.00081135,             0.00505,             0.00505,             0.00505
                  77,            0.022034,            0.012809,           0.0016415,                   1,             0.99882,               0.995,             0.86373,            0.017593,           0.0035248,          0.00083488,            0.004984,            0.004984,            0.004984
                  78,            0.022088,            0.012387,           0.0012302,                   1,             0.99746,               0.995,             0.83775,            0.020528,           0.0037382,          0.00084676,            0.004918,            0.004918,            0.004918
                  79,            0.021883,            0.012055,          0.00097731,             0.99791,             0.94737,              0.9925,             0.87372,            0.017206,           0.0036269,          0.00083317,            0.004852,            0.004852,            0.004852
                  80,            0.021576,            0.012527,          0.00097415,             0.94969,             0.99382,              0.9925,             0.83153,            0.022618,           0.0038423,          0.00083109,            0.004786,            0.004786,            0.004786
                  81,            0.022245,            0.012766,           0.0018844,              0.9498,             0.99591,              0.9925,             0.85154,            0.017054,           0.0036813,           0.0007939,             0.00472,             0.00472,             0.00472
                  82,            0.021018,            0.012294,          0.00095215,             0.94392,             0.94737,             0.98182,             0.84641,            0.023593,           0.0043173,          0.00080556,            0.004654,            0.004654,            0.004654
                  83,            0.021055,            0.011903,          0.00093213,              0.9434,             0.94737,             0.97976,             0.86722,            0.019008,           0.0042036,          0.00080702,            0.004588,            0.004588,            0.004588
                  84,            0.021643,            0.012243,          0.00094725,             0.98622,             0.94737,             0.98818,             0.82172,            0.020989,           0.0040141,          0.00082362,            0.004522,            0.004522,            0.004522
                  85,            0.021222,            0.012418,          0.00090986,             0.99429,             0.94737,             0.98818,             0.85716,            0.016084,           0.0037395,           0.0008092,            0.004456,            0.004456,            0.004456
                  86,            0.020521,            0.012582,          0.00085477,             0.94989,             0.99782,              0.9925,              0.8338,            0.023659,           0.0038497,          0.00076182,             0.00439,             0.00439,             0.00439
                  87,            0.021502,            0.011821,           0.0012167,             0.94989,             0.99786,              0.9925,             0.87603,             0.01595,            0.003577,          0.00069959,            0.004324,            0.004324,            0.004324
                  88,            0.021019,            0.011963,           0.0011794,             0.94985,             0.99693,              0.9925,              0.8354,            0.021928,           0.0037801,          0.00070918,            0.004258,            0.004258,            0.004258
                  89,            0.020484,            0.012194,           0.0009579,             0.99017,             0.94737,             0.99024,             0.86124,            0.016284,           0.0037196,          0.00069941,            0.004192,            0.004192,            0.004192
                  90,            0.020445,            0.010425,          0.00086402,             0.94974,             0.99471,              0.9925,             0.83905,            0.021095,           0.0036178,            0.000684,            0.004126,            0.004126,            0.004126
                  91,            0.019641,            0.011672,          0.00089178,             0.94976,             0.99517,              0.9925,             0.89248,            0.016801,           0.0033542,          0.00063976,             0.00406,             0.00406,             0.00406
